r  O00   1c  4.50000  0.0200  0.70150  8.0608  3.7713  2.5815  1.2708  0.98075   1.394125   0.998482  -1.6469  -2.2908  -2.7145  -3.0643  -3.0016  
r  O00   1c  5.00000  0.0200  0.70150  7.9471  3.7635  2.7293  1.3604  0.98076   1.838782   1.304792  -2.0029  -2.6797  -3.1124  -3.4756  -3.4123  
r  O00   1c  5.50000  0.0200  0.70150  7.8471  3.7560  2.8650  1.4431  0.98076   2.381187   1.674702  -2.3262  -3.0350  -3.4827  -3.8631  -3.7974  
r  O00   1c  6.00000  0.0200  0.70150  7.7587  3.7489  2.9910  1.5203  0.98077   3.038576   2.119487  -2.6227  -3.3621  -3.8313  -4.2327  -4.1628  
r  O00   1c  6.50000  0.0200  0.70150  7.6798  3.7422  3.1074  1.5920  0.98077   3.815883   2.642482  -2.8955  -3.6644  -4.1541  -4.5757  -4.5019  
r  O00   1c  7.00000  0.0200  0.70150  7.6095  3.7356  3.2163  1.6596  0.98078          x          x  -3.1500  -3.9406  -4.4565  -4.8956  -4.8196  
r  O00   1c  7.50000  0.0200  0.70150  7.5460  3.7294  3.3169  1.7223  0.98078   5.805130   3.975063  -3.3840  -4.1932  -4.7362  -5.1910  -5.1135  
r  O00   1c  8.00000  0.0200  0.70150  7.4891  3.7233  3.4121  1.7820  0.98078   7.038488   4.800983  -3.6050  -4.4325  -5.0018  -5.4721  -5.3931  
b  O00   2c  5.50000  0.0200  0.70150  7.9170  3.8025  3.1821  1.5088  0.29835   3.058154   2.107176  -3.2322  -3.7250  -4.0557  -4.3155  -4.2612  
b  O00   2c  6.00000  0.0200  0.70150  7.8267  3.7977  3.3132  1.5838  0.27352          x          x  -3.5508  -4.0664  -4.4126  -4.6862  -4.6286  
b  O00   2c  6.50000  0.0200  0.70150  7.7430  3.7936  3.4282  1.6495  0.28912   4.762032   3.248599  -3.8303  -4.3631  -4.7236  -5.0081  -4.9487  
b  O00   2c  7.00000  0.0200  0.70150  7.6665  3.7899  3.5329  1.7093  0.32688   5.739760   3.906449  -4.0849  -4.6313  -5.0054  -5.2987  -5.2384  
b  O00   2c  7.50000  0.0200  0.70150  7.5989  3.7862  3.6393  1.7699  0.35018   6.972179   4.737920  -4.3431  -4.9050  -5.2920  -5.5944  -5.5326  
b  O00   2c  8.00000  0.0200  0.70150  7.5379  3.7826  3.7443  1.8297  0.37422   8.474126   5.753931  -4.5973  -5.1762  -5.5751  -5.8863  -5.8226  
m  O00   2c  5.00000  0.0200  0.70150  8.0152  3.7791  3.0074  1.4682  0.36058   2.781414   1.930760  -2.7344  -3.3406  -3.7517  -4.0809  -4.0170  
m  O00   2c  5.50000  0.0200  0.70150  7.9152  3.7720  3.1545  1.5558  0.31767   3.683179   2.538803  -3.0895  -3.7260  -4.1469  -4.4887  -4.4240  
m  O00   2c  6.00000  0.0200  0.70150  7.8249  3.7656  3.2867  1.6349  0.29508   4.746321   3.257624  -3.4090  -4.0739  -4.5012  -4.8538  -4.7885  
m  O00   2c  6.50000  0.0200  0.70150  7.7415  3.7598  3.4036  1.7049  0.30712   5.935459   4.063406  -3.6907  -4.3812  -4.8150  -5.1781  -5.1119  
m  O00   2c  7.00000  0.0200  0.70150  7.6657  3.7542  3.5133  1.7709  0.33947   7.336845   5.014472  -3.9503  -4.6650  -5.1148  -5.4937  -5.4245  
m  O00   2c  7.50000  0.0200  0.70150  7.5985  3.7486  3.6233  1.8371  0.35583   9.124915   6.227459  -4.2100  -4.9496  -5.4166  -5.8119  -5.7394  
m  O00   2c  8.00000  0.0200  0.70150  7.5377  3.7431  3.7283  1.9006  0.37741  11.267120   7.676075  -4.4575  -5.2217  -5.7053  -6.1166  -6.0410  
