 
O00 0.0100 3.00000    8.4643  5.4057  1.0345e-06          -       -            -          -       -           -
O00 0.0100 3.50000    8.2943  5.0649  2.3027e-06          -       -            -          -       -           -
O00 0.0100 4.00000    8.1506  4.8042  4.3994e-06     8.2338  6.3815* -1.0386e-07     8.2399  6.6147* 9.2900e-08
O00 0.0100 4.50000    8.0268  4.5908  7.6557e-06          -       -            -          -       -           -
O00 0.0100 5.00000    7.9194  4.4097  1.2459e-05          -       -            -          -       -           -
O00 0.0100 5.50000    7.8252  4.2532  1.9162e-05          -       -            -          -       -           -
O00 0.0100 6.00000    7.7420  4.1141  2.8238e-05          -       -            -          -       -           -
O00 0.0100 6.50000    7.6679  3.9893  4.0004e-05          -       -            -          -       -           -
O00 0.0100 7.00000    7.6020  3.8757  5.4935e-05          -       -            -          -       -           -
O00 0.0100 7.50000    7.5421  3.7710  7.3334e-05          -       -            -          -       -           -
O00 0.0100 8.00000    7.4882  3.6754  9.5624e-05          -       -            -          -       -           -
 
O00 0.0080 2.00000    8.9109  6.5085  9.5547e-08          -       -            -          -       -           -
O00 0.0080 2.50000    8.6513  5.8061  4.3126e-07          -       -            -          -       -           -
O00 0.0080 3.00000    8.4466  5.3508  1.2001e-06          -       -            -          -       -           -
O00 0.0080 3.50000    8.2789  5.0214  2.6213e-06     8.3548  5.6574*           -     8.3557  5.9041*          -
O00 0.0080 4.00000    8.1376  4.7684  4.9458e-06          -       -            -          -       -           -
O00 0.0080 4.50000    8.0162  4.5611  8.5130e-06          -       -            -          -       -           -
O00 0.0080 5.00000    7.9103  4.3842  1.3700e-05          -       -            -          -       -           -
O00 0.0080 5.50000    7.8177  4.2308  2.0924e-05     7.8891  6.2255* -6.0185e-08     7.8985  6.1204* 1.6145e-07
O00 0.0080 6.00000    7.7359  4.0951  3.0572e-05     7.7978  5.9356  -5.4085e-07     7.8200  5.6621  1.3066e-06
O00 0.0080 6.50000    7.6632  3.9732  4.3005e-05     7.7197  5.3035  -3.7523e-06     7.7462  5.4746  2.0301e-06
O00 0.0080 7.00000    7.5979  3.8612  5.8619e-05     7.6514  4.7354  -1.1976e-05     7.6795  5.1206  5.1806e-06
O00 0.0080 7.50000    7.5393  3.7597  7.7664e-05     7.5911  4.4607  -2.3751e-05     7.6178  5.0269  6.3468e-06
O00 0.0080 8.00000    7.4864  3.6670  1.0035e-04     7.5350  4.2601  -4.0113e-05     7.5626  4.6820  1.3747e-05
 
O00 0.0060 2.00000    8.8848  6.3928  1.2380e-07          -       -            -          -       -           -
O00 0.0060 2.50000    8.6280  5.7274  5.2541e-07          -       -            -          -       -           -
O00 0.0060 3.00000    8.4263  5.2905  1.4177e-06          -       -            -          -       -           -
O00 0.0060 3.50000    8.2612  4.9732  3.0425e-06     8.3498  6.6400* -6.1313e-08     8.3581  6.8066* 4.9953e-08
O00 0.0060 4.00000    8.1226  4.7294  5.6451e-06          -       -            -          -       -           -
O00 0.0060 4.50000    8.0033  4.5271  9.6088e-06     8.0815  6.5162* -4.3872e-08     8.0932  6.3661* 1.4212e-07
O00 0.0060 5.00000    7.8997  4.3562  1.5283e-05     7.9646  6.2026  -2.6435e-07     7.9930  5.8683  5.9347e-07
O00 0.0060 5.50000    7.8088  4.2071  2.3127e-05     7.8641  5.9035  -5.4815e-07     7.9008  5.3021  2.8125e-06
O00 0.0060 6.00000    7.7285  4.0753  3.3406e-05     7.7775  5.4715  -2.1408e-06     7.8174  4.9850  5.8133e-06
O00 0.0060 6.50000    7.6573  3.9569  4.6555e-05     7.7020  4.9401  -7.2865e-06     7.7427  4.7523  1.0326e-05
O00 0.0060 7.00000    7.5934  3.8500  6.2672e-05     7.6355  4.6215  -1.5859e-05     7.6760  4.5682  1.6927e-05
O00 0.0060 7.50000    7.5360  3.7534  8.2036e-05     7.5764  4.4117  -2.7730e-05     7.6149  4.4487  2.3599e-05
O00 0.0060 8.00000    7.4837  3.7115  1.0037e-04     7.5281  4.2592  -4.2800e-05     7.5625  4.3885  2.9037e-05
 
O00 0.0040 2.00000    8.8525  6.2617  1.6873e-07          -       -            -          -       -           -
O00 0.0040 2.50000    8.5985  5.6297  6.7727e-07          -       -            -          -       -           -
O00 0.0040 3.00000    8.4007  5.2140  1.7728e-06     8.4780  6.5668*           -     8.4833  7.3538*          -
O00 0.0040 3.50000    8.2391  4.9127  3.7317e-06     8.3217  6.9467* -3.6794e-08     8.3397  6.7959* 1.1758e-07
O00 0.0040 4.00000    8.1036  4.6779  6.7924e-06     8.1698  6.4772  -1.2406e-07     8.2081  5.9979  6.5021e-07
O00 0.0040 4.50000    7.9873  4.4852  1.1346e-05     8.0414  6.1968  -2.6463e-07     8.0877  5.3635  2.0925e-06
O00 0.0040 5.00000    7.8863  4.3216  1.7834e-05     7.9311  5.9174  -5.2105e-07     7.9817  4.9193  6.1879e-06
O00 0.0040 5.50000    7.7978  4.1812  2.6422e-05     7.8361  5.5461  -1.5935e-06     7.8886  4.5915  1.3393e-05
O00 0.0040 6.00000    7.7197  4.0569  3.7458e-05     7.7536  5.0787  -5.1361e-06     7.8063  4.3438  2.4244e-05
O00 0.0040 6.50000    7.6500  3.9469  5.1202e-05     7.6808  4.7551  -1.1407e-05     7.7329  4.1464  3.8931e-05
O00 0.0040 7.00000    7.5877  3.8529  6.7682e-05     7.6164  4.5415  -2.0319e-05     7.6672  4.0073  5.5523e-05
O00 0.0040 7.50000    7.5314  3.7785  8.6744e-05     7.5588  4.3871  -3.2275e-05     7.6074  3.8843  7.6567e-05
O00 0.0040 8.00000    7.4802  3.8218  9.0052e-05     7.5057  4.2736  -4.6814e-05     7.5544  3.7620  1.1150e-04
 
O00 0.0030 2.00000    8.8329  6.2018  1.9621e-07          -       -            -          -       -           -
O00 0.0030 2.50000    8.5810  5.5767  7.8025e-07          -       -            -          -       -           -
O00 0.0030 3.00000    8.3855  5.1700  2.0269e-06     8.4674  7.0044  -2.6054e-08     8.4961  6.8410  7.0888e-08
O00 0.0030 3.50000    8.2262  4.8780  4.2237e-06     8.2921  6.6393  -7.5117e-08     8.3371  6.1237  5.0829e-07
O00 0.0030 4.00000    8.0925  4.6494  7.5476e-06     8.1443  6.3472  -1.7055e-07     8.1974  5.3632  1.8762e-06
O00 0.0030 4.50000    7.9780  4.4633  1.2517e-05     8.0193  6.0601  -3.6605e-07     8.0767  4.8449  6.7835e-06
O00 0.0030 5.00000    7.8787  4.3052  1.9518e-05     7.9125  5.7425  -8.7135e-07     7.9717  4.4894  1.5466e-05
O00 0.0030 5.50000    7.7914  4.1705  2.8442e-05     7.8202  5.3153  -2.8467e-06     7.8797  4.1959  2.9775e-05
O00 0.0030 6.00000    7.7144  4.0545  3.9653e-05     7.7395  4.9515  -7.0609e-06     7.7986  3.9890  4.9884e-05
O00 0.0030 6.50000    7.6458  3.9626  5.3440e-05     7.6685  4.7033  -1.3583e-05     7.7265  3.8578  7.8806e-05
